test,status,setup_time,solve_time,run_time,obj,phi,iters,,,46
LISWET6,QOCO_MAX_ITER,0.0132454,3.2131341,Inf,-2162.197478,9.07E-08,200,,,
LISWET7,QOCO_MAX_ITER,0.0088312,2.7987439,Inf,-2500.234157,2.92E-07,200,,,
LISWET8,QOCO_MAX_ITER,0.0079994,2.5649758,Inf,-2500.234066,2.92E-07,200,,,
LISWET9,QOCO_MAX_ITER,0.0063859,2.4259395,Inf,-2500.234113,2.95E-07,200,,,
LOTSCHD,QOCO_MAX_ITER,5.79E-05,0.0110913,Inf,2397.004683,2.73E-08,200,,,
MOSARQP1,QOCO_SOLVED,0.0019117,0.0492684,0.0511801,-952.8754965,5.91E-09,21,,,
MOSARQP2,QOCO_SOLVED,0.0012733,0.0382452,0.0395185,-1597.482235,9.83E-09,26,,,
POWELL20,QOCO_MAX_ITER,0.0077691,1.3968004,Inf,45274079792,57978.18875,200,,,
PRIMAL1,QOCO_SOLVED,0.0019141,0.020273,0.0221871,-0.035017239,6.74E-09,26,,,
PRIMAL2,QOCO_SOLVED,0.0030408,0.0202448,0.0232856,-0.033733583,1.12E-10,18,,,
PRIMAL3,QOCO_SOLVED,0.0142352,0.0531439,0.0673791,-0.13575572,3.33E-09,19,,,
PRIMAL4,QOCO_SOLVED,0.0151489,0.0328458,0.0479947,-0.746090821,7.44E-10,18,,,
PRIMALC1,QOCO_SOLVED,0.0002084,0.0052614,0.0054698,-6155.250818,1.33E-17,19,,,
PRIMALC2,QOCO_SOLVED,0.000196,0.0034011,0.0035971,-3551.307288,5.83E-13,13,,,
PRIMALC5,QOCO_SOLVED,0.0002611,0.0027995,0.0030606,-427.2322791,3.03E-14,7,,,
PRIMALC8,QOCO_SOLVED,0.0003679,0.0064899,0.0068578,-18309.4295,3.24E-13,12,,,
Q25FV47,QOCO_MAX_ITER,0.0925668,4.4389057,Inf,13511284.88,1.20E-06,200,,,
QADLITTL,QOCO_SOLVED,0.0002922,0.0041164,0.0044086,480092.1845,8.93E-09,24,,,
QAFIRO,QOCO_SOLVED,0.0001268,0.0011025,0.0012293,-1.590789788,2.70E-14,12,,,
QBANDM,QOCO_SOLVED,0.0010681,0.1277423,0.1288104,16352.22331,1.00E-08,126,,,
QBEACONF,QOCO_SOLVED,0.0009031,0.014615,0.0155181,164712.3667,3.35E-09,25,,,
QBORE3D,QOCO_SOLVED,0.0010428,0.014729,0.0157718,3100.200316,4.33E-09,30,,,
QBRANDY,QOCO_SOLVED,0.0007607,0.0625952,0.0633559,28348.97495,9.95E-09,83,,,
QCAPRI,QOCO_MAX_ITER,0.0017444,0.2153019,Inf,48157395.46,0.000177006,200,,,
QE226,QOCO_SOLVED,0.0012603,0.0376949,0.0389552,205.526637,8.72E-09,45,,,
QETAMACR,QOCO_SOLVED,0.0035832,0.2167636,0.2203468,86762.33051,5.78E-09,30,,,
QFFFFF80,QOCO_MAX_ITER,0.0030616,0.777902,Inf,862243.3881,6.22E-07,200,,,
QFORPLAN,QOCO_MAX_ITER,0.0026037,0.3024598,Inf,6777838757,0.003158458,200,,,
QGFRDXPN,QOCO_MAX_ITER,0.0017666,0.3860594,Inf,1.01E+11,4.01E-07,200,,,
QGROW15,QOCO_MAX_ITER,0.0018762,0.3921128,Inf,2.74E+14,3.50E+22,200,,,
QGROW22,QOCO_MAX_ITER,0.0041898,0.6440136,Inf,1.68E+14,1.06E+20,200,,,
QGROW7,QOCO_MAX_ITER,0.0014037,0.2299459,Inf,2.43E+14,8.06E+18,200,,,
QISRAEL,QOCO_MAX_ITER,0.0009441,0.1294531,Inf,25647829.48,0.002339757,200,,,
QPCBLEND,QOCO_SOLVED,0.0002732,0.0558486,0.0561218,-0.00763906,9.98E-09,189,,,
QPCBOEI1,QOCO_MAX_ITER,0.002262,0.4026398,Inf,11503892.06,7.65E-08,200,,,
QPCBOEI2,QOCO_MAX_ITER,0.0005048,0.1295783,Inf,8111484.467,6.45E-05,200,,,
QPCSTAIR,QOCO_MAX_ITER,0.0014011,0.3223457,Inf,3408079.554,0.000229353,200,,,
QPILOTNO,QOCO_MAX_ITER,0.0089304,1.8949368,Inf,1936888.626,1.08E-06,200,,,
QRECIPE,QOCO_SOLVED,0.0003096,0.0205576,0.0208672,-266.6159932,9.87E-09,63,,,
QSC205,QOCO_SOLVED,0.0003524,0.031913,0.0322654,-0.005753249,9.91E-09,78,,,
QSCAGR25,QOCO_SOLVED,0.0008058,0.0152537,0.0160595,201733371.4,3.44E-09,33,,,
QSCAGR7,QOCO_SOLVED,0.0003573,0.0044391,0.0047964,26853069.21,1.00E-09,31,,,
QSCFXM1,QOCO_MAX_ITER,0.0013409,0.2534581,Inf,14991227.12,1.24E-05,200,,,
QSCFXM2,QOCO_MAX_ITER,0.0024312,0.5258276,Inf,24223805.86,3.60E-06,200,,,
QSCFXM3,QOCO_MAX_ITER,0.0033418,0.7352295,Inf,27638140.09,2.50E-06,200,,,
QSCORPIO,QOCO_SOLVED,0.0007067,0.0078783,0.008585,1880.493888,9.19E-10,23,,,
QSCRS8,QOCO_SOLVED,0.00208,0.0502589,0.0523389,904.5765158,3.80E-09,37,,,
QSCSD1,QOCO_SOLVED,0.0013523,0.0118311,0.0131834,8.666697452,2.32E-12,20,,,
QSCSD6,QOCO_MAX_ITER,0.0025061,0.525609,Inf,50.79575671,9.24E-08,200,,,
QSCSD8,QOCO_SOLVED,0.0053994,0.4154383,0.4208377,940.762311,8.29E-09,85,,,
QSCTAP1,QOCO_SOLVED,0.0011683,0.0116694,0.0128377,1415.862162,1.79E-09,21,,,
QSCTAP2,QOCO_SOLVED,0.0062444,0.0858095,0.0920539,1735.02953,1.08E-09,33,,,
QSCTAP3,QOCO_SOLVED,0.0069842,0.1326924,0.1396766,1438.757002,7.49E-11,38,,,
QSEBA,QOCO_MAX_ITER,0.0038636,0.4609908,Inf,31600241.88,3.49E-08,200,,,
QSHARE1B,QOCO_SOLVED,0.000518,0.0150132,0.0155312,720079.4347,2.07E-09,33,,,
QSHARE2B,QOCO_MAX_ITER,0.000231,0.056402,Inf,11234.79463,2.02E-06,200,,,
QSHELL,QOCO_MAX_ITER,0.049236,2.819867,Inf,1.21E+12,0.000110339,200,,,
QSHIP04L,QOCO_SOLVED,0.0046475,0.0334581,0.0381056,2420017.191,1.77E-09,25,,,
QSHIP04S,QOCO_SOLVED,0.0026787,0.0216852,0.0243639,2424993.894,2.60E-10,23,,,
QSHIP08L,QOCO_SOLVED,0.0170872,0.68078,0.6978672,2376039.819,1.66E-09,30,,,
QSHIP08S,QOCO_SOLVED,0.0059563,0.1040023,0.1099586,2385733.671,7.96E-09,25,,,
QSHIP12L,QOCO_SOLVED,0.0234969,1.1192123,1.1427092,3018877.696,3.03E-09,33,,,
QSHIP12S,QOCO_SOLVED,0.007211,0.0975161,0.1047271,3056962.672,7.78E-09,26,,,
QSIERRA,QOCO_MAX_ITER,0.0039858,0.8379127,Inf,24462267.89,5.81E-07,200,,,
QSTAIR,QOCO_MAX_ITER,0.001559,0.3478662,Inf,6291692.513,7.40E-05,200,,,
QSTANDAT,QOCO_SOLVED,0.0019839,0.0319517,0.0339356,6412.066511,1.00E-10,36,,,
S268,QOCO_SOLVED,4.31E-05,0.0002818,0.0003249,-14462.13938,1.33E-09,2,,,
STCQP1,QOCO_SOLVED,0.009903,0.2626051,0.2725081,155143.572,1.16E-09,15,,,
STCQP2,QOCO_SOLVED,0.0085825,0.6239208,0.6325033,22327.32593,1.81E-09,17,,,
TAME,QOCO_SOLVED,2.53E-05,0.0001573,0.0001826,-1.52E-17,9.36E-22,3,,,
UBH1,QOCO_MAX_ITER,0.2106202,4.4217047,Inf,1.835166749,6.58E-06,200,,,
YAO,QOCO_MAX_ITER,0.0014009,0.5315607,Inf,-269.3547988,6.69E-06,200,,,
ZECEVIC2,QOCO_SOLVED,3.02E-05,0.0002834,0.0003136,-4.124999959,1.37E-15,4,,,
