test,status,setup_time,solve_time,run_time,obj,phi,iters,,,46
AUG2D,QOCO_SOLVED,0.0093435,0.026939,0.0362825,1677511.753,0,1,,,
AUG2DC,QOCO_SOLVED,0.0130809,0.0287173,0.0417982,1808268.066,0,1,,,
AUG2DCQP,QOCO_SOLVED,0.0206903,0.5511281,0.5718184,6488034.638,1.19E-09,24,,,
AUG2DQP,QOCO_SOLVED,0.0141462,0.9555664,0.9697126,6227111.767,1.18E-09,45,,,
AUG3D,QOCO_SOLVED,0.0034753,0.0066521,0.0101274,-782.4322742,0,1,,,
AUG3DC,QOCO_SOLVED,0.0026438,0.006162,0.0088058,-1165.237561,0,1,,,
AUG3DCQP,QOCO_SOLVED,0.003496,0.265037,0.268533,-943.1384198,9.70E-09,49,,,
AUG3DQP,QOCO_SOLVED,0.0041174,0.5415975,0.5457149,-661.262267,1.25E-09,87,,,
CVXQP1_M,QOCO_MAX_ITER,0.0042251,2.2770397,Inf,1087499.728,2.50E-07,200,,,
CVXQP1_S,QOCO_MAX_ITER,0.0003292,0.0713887,Inf,11589.14407,2.31E-07,200,,,
CVXQP2_M,QOCO_MAX_ITER,0.0022365,1.7811556,Inf,820150.4203,6.17E-08,200,,,
CVXQP2_S,QOCO_SOLVED,0.0002294,0.0023863,0.0026157,8120.938722,9.64E-09,15,,,
CVXQP3_M,QOCO_MAX_ITER,0.003599,2.368229,Inf,1361393.734,6.69E-05,200,,,
CVXQP3_S,QOCO_MAX_ITER,0.0003525,0.0612608,Inf,11942.15305,2.03E-07,200,,,
DTOC3,QOCO_SOLVED,0.0061114,0.0181743,0.0242857,235.2623952,3.60E-14,3,,,
DUAL1,QOCO_SOLVED,0.0003434,0.0089891,0.0093325,0.035009655,8.51E-09,16,,,
DUAL2,QOCO_SOLVED,0.0003037,0.008548,0.0088517,0.033734693,8.71E-10,15,,,
DUAL3,QOCO_SOLVED,0.0006244,0.087577,0.0882014,0.135757102,9.95E-09,75,,,
DUAL4,QOCO_SOLVED,0.0002099,0.0048312,0.0050411,0.74611744,7.31E-09,13,,,
DUALC1,QOCO_SOLVED,0.0001369,0.0018912,0.0020281,6156.26162,2.31E-09,11,,,
DUALC2,QOCO_SOLVED,0.0001093,0.0017639,0.0018732,3551.30775,3.51E-16,11,,,
DUALC5,QOCO_SOLVED,0.0001487,0.001435,0.0015837,427.2283366,3.04E-10,6,,,
DUALC8,QOCO_SOLVED,0.000264,0.0021883,0.0024523,18309.36394,1.99E-10,6,,,
GENHS28,QOCO_SOLVED,2.89E-05,8.54E-05,0.0001143,0.927173694,0,1,,,
GOULDQP2,QOCO_SOLVED,0.0016996,0.0144682,0.0161678,0.000184715,7.33E-09,23,,,
GOULDQP3,QOCO_SOLVED,0.0007998,0.0148772,0.015677,-29647.83716,6.01E-09,22,,,
HS118,QOCO_SOLVED,6.42E-05,0.0013608,0.001425,664.8204505,1.81E-13,26,,,
HS21,QOCO_SOLVED,2.50E-05,0.0005355,0.0005605,0.040000048,6.83E-12,8,,,
HS268,QOCO_SOLVED,2.28E-05,0.0001254,0.0001482,-14462.13938,1.33E-09,2,,,
HS35,QOCO_SOLVED,3.32E-05,0.0003518,0.000385,-8.88888852,5.19E-13,5,,,
HS35MOD,QOCO_SOLVED,3.22E-05,0.0002554,0.0002876,-8.750003873,2.19E-10,6,,,
HS51,QOCO_SOLVED,2.61E-05,8.08E-05,0.0001069,-6,0,1,,,
HS52,QOCO_SOLVED,2.16E-05,7.84E-05,0.0001,-0.673352436,0,1,,,
HS53,QOCO_SOLVED,3.25E-05,0.0001259,0.0001584,-1.906976744,3.01E-10,2,,,
HS76,QOCO_SOLVED,2.38E-05,0.0002937,0.0003175,-4.681816045,5.47E-12,5,,,
HUES-MOD,QOCO_MAX_ITER,0.0040754,2.4484803,Inf,87917529960,4.39E-06,200,,,
HUESTIS,QOCO_MAX_ITER,0.0044443,1.9030353,Inf,4.42E+11,5.08E-06,200,,,
KSIP,QOCO_MAX_ITER,0.0019536,0.3905924,Inf,0.608000458,1.29E-06,200,,,
LISWET1,QOCO_MAX_ITER,0.0072193,2.5018638,Inf,-2500.380143,1.45E-07,200,,,
LISWET10,QOCO_MAX_ITER,0.0055663,2.3554209,Inf,-2500.920774,9.05E-08,200,,,
LISWET11,QOCO_MAX_ITER,0.0053949,2.3732087,Inf,-2500.723224,9.00E-08,200,,,
LISWET12,QOCO_MAX_ITER,0.0052966,2.4641374,Inf,-2500.723317,9.01E-08,200,,,
LISWET2,QOCO_MAX_ITER,0.0074076,2.4382897,Inf,-1666.968858,1.00E-07,200,,,
LISWET3,QOCO_MAX_ITER,0.0059898,2.476471,Inf,-1000.235558,1.00E-07,200,,,
LISWET4,QOCO_MAX_ITER,0.0084469,2.5125713,Inf,-714.4926643,1.00E-07,200,,,
LISWET5,QOCO_MAX_ITER,0.0058533,2.645398,Inf,-15976.0841,1.42E-07,200,,,
