test,status,setup_time,solve_time,run_time,obj,phi,iters,,36
lp_25fv47,QOCO_SOLVED,0.005456,0.1833989,0.1888549,5502.012895,3.49E-09,48,,
lp_80bau3b,QOCO_MAX_ITER,0.1110995,2.7057675,Inf,995256.7252,3.42E-07,200,,
lp_adlittle,QOCO_SOLVED,0.0003348,0.0027092,0.003044,225387.7934,2.55E-09,25,,
lp_afiro,QOCO_SOLVED,0.0001577,0.0009946,0.0011523,-464.7553697,2.24E-11,11,,
lp_agg,QOCO_SOLVED,0.0022314,0.0232569,0.0254883,-32070560.49,9.62E-09,35,,
lp_agg2,QOCO_MAX_ITER,0.0023754,0.571251,Inf,-7108115.585,2.44E-08,200,,
lp_agg3,QOCO_MAX_ITER,0.0020187,0.5054243,Inf,21983445.14,2.55E-08,200,,
lp_bandm,QOCO_SOLVED,0.0013791,0.0185591,0.0199382,-158.6332053,7.19E-09,31,,
lp_beaconfd,QOCO_SOLVED,0.0014077,0.0131852,0.0145929,33592.51853,4.61E-10,25,,
lp_blend,QOCO_SOLVED,0.0003831,0.0029328,0.0033159,-30.81213328,3.60E-09,23,,
lp_bnl1,QOCO_MAX_ITER,0.0041047,0.5290842,Inf,2012.344183,1.32E-07,200,,
lp_bnl2,QOCO_MAX_ITER,0.0178703,2.7820569,Inf,1933.548419,2.12E-07,200,,
lp_boeing1,QOCO_SOLVED,0.0029343,0.042457,0.0453913,-335.0823558,8.49E-09,39,,
lp_boeing2,QOCO_MAX_ITER,0.0012409,0.1411138,Inf,-268.952981,4.24E-08,200,,
lp_bore3d,QOCO_SOLVED,0.0016858,0.0156315,0.0173173,1373.081402,2.36E-09,30,,
lp_brandy,QOCO_SOLVED,0.0013564,0.0345577,0.0359141,1518.506701,1.08E-09,30,,
lp_capri,QOCO_MAX_ITER,0.0018982,0.2792794,Inf,2540.019199,2.49E-08,200,,
lp_cycle,QOCO_MAX_ITER,0.0218422,2.7713588,Inf,NaN,NaN,200,,
lp_czprob,QOCO_MAX_ITER,0.0156837,1.0969875,Inf,2185328.309,1.33E-08,200,,
lp_d2q06c,QOCO_MAX_ITER,0.032671,5.7757077,Inf,122803.7186,1.67E-08,200,,
lp_d6cube,QOCO_MAX_ITER,0.0271812,4.0788654,Inf,424.6853543,1.53E-06,200,,
lp_degen2,QOCO_SOLVED,0.0037048,0.0463892,0.050094,-1435.17187,5.92E-09,24,,
lp_degen3,QOCO_SOLVED,0.0168597,0.5709356,0.5877953,-987.2885197,2.54E-09,30,,
