test,status,setup_time,solve_time,run_time,obj,phi,iters,,29
lp_25fv47,QOCO_MAX_ITER,0.0060468,1.5205804,Inf,NaN,NaN,200,,
lp_80bau3b,QOCO_SOLVED,0.06822,0.9169976,0.9852176,988733.449,8.69E-09,70,,
lp_adlittle,QOCO_SOLVED,0.0003036,0.0032933,0.0035969,225495.0596,7.50E-10,25,,
lp_afiro,QOCO_SOLVED,0.0001214,0.0008553,0.0009767,-464.7517206,2.59E-12,11,,
lp_agg,QOCO_SOLVED,0.0013929,0.0223155,0.0237084,-35876952.41,4.14E-09,30,,
lp_agg2,QOCO_SOLVED,0.0019046,0.0698135,0.0717181,-19945026.43,4.61E-09,29,,
lp_agg3,QOCO_SOLVED,0.0025401,0.0631389,0.065679,10560359.63,4.53E-09,29,,
lp_bandm,QOCO_MAX_ITER,0.0011771,0.2556938,Inf,NaN,NaN,200,,
lp_beaconfd,QOCO_SOLVED,0.001274,0.0158164,0.0170904,33592.75173,2.03E-09,27,,
lp_blend,QOCO_MAX_ITER,0.0003815,0.0715753,Inf,NaN,NaN,200,,
lp_bnl1,QOCO_SOLVED,0.0066271,0.1064497,0.1130768,2021.919763,1.78E-09,42,,
lp_bnl2,QOCO_MAX_ITER,0.0294662,4.2098336,Inf,NaN,NaN,200,,
lp_boeing1,QOCO_SOLVED,0.003147,0.0392882,0.0424352,-335.2132038,5.36E-09,37,,
lp_boeing2,QOCO_SOLVED,0.0008054,0.0101223,0.0109277,-315.3264576,2.72E-09,27,,
lp_bore3d,QOCO_SOLVED,0.0009151,0.0198615,0.0207766,1373.081192,2.24E-09,30,,
lp_brandy,QOCO_MAX_ITER,0.0011878,0.2066701,Inf,NaN,NaN,200,,
lp_capri,QOCO_SOLVED,0.0016571,0.0296584,0.0313155,2689.993205,2.23E-09,36,,
lp_cycle,QOCO_MAX_ITER,0.0185487,3.0571823,Inf,NaN,NaN,200,,
lp_czprob,QOCO_SOLVED,0.021934,0.2120112,0.2339452,2185220.972,2.29E-09,55,,
lp_d2q06c,QOCO_SOLVED,0.0461046,1.9524788,1.9985834,122802.3072,5.37E-09,56,,
lp_d6cube,QOCO_MAX_ITER,0.0306089,6.4723628,Inf,NaN,NaN,200,,
lp_degen2,QOCO_SOLVED,0.0045058,0.0680909,0.0725967,-1435.172521,6.46E-09,24,,
lp_degen3,QOCO_SOLVED,0.0312602,0.7794676,0.8107278,-987.2881564,6.53E-10,31,,
lp_dfl001,QOCO_MAX_ITER,0.1310257,283.7555002,Inf,NaN,NaN,200,,
lp_e226,QOCO_MAX_ITER,0.0009722,0.1501497,Inf,NaN,NaN,200,,
lp_etamacro,QOCO_SOLVED,0.0015483,0.0489425,0.0504908,-754.4229411,5.76E-09,30,,
lp_fffff800,QOCO_SOLVED,0.0024618,0.0938628,0.0963246,555738.8755,1.46E-09,49,,
