test,status,setup_time,solve_time,run_time,obj,phi,iters,,21
QAFIRO,QOCO_SOLVED,9.83E-05,0.0006318,0.0007301,-1.590767787,1.64E-14,12,,
QBANDM,QOCO_SOLVED,0.0010692,0.0229115,0.0239807,16352.34296,2.48E-09,36,,
QBEACONF,QOCO_MAX_ITER,0.0008352,0.1919313,Inf,NaN,NaN,200,,
QBORE3D,QOCO_SOLVED,0.000955,0.014974,0.015929,3100.201323,1.86E-09,31,,
QBRANDY,QOCO_MAX_ITER,0.0007173,0.1798222,Inf,NaN,NaN,200,,
QCAPRI,QOCO_MAX_ITER,0.0014155,0.2043303,Inf,58470283.1,1.77E-07,200,,
QE226,QOCO_SOLVED,0.0011184,0.0190523,0.0201707,205.5404419,1.01E-09,27,,
QETAMACR,QOCO_MAX_ITER,0.0034452,1.9797109,Inf,NaN,NaN,200,,
QFFFFF80,QOCO_SOLVED,0.0028197,0.1379056,0.1407253,873351.5421,1.35E-09,42,,
QFORPLAN,QOCO_SOLVED,0.0024334,0.0693837,0.0718171,7456631351,7.22E-10,58,,
QGFRDXPN,QOCO_SOLVED,0.0255979,0.0400881,0.065686,1.00791E+11,1.32E-09,30,,
QGROW15,QOCO_MAX_ITER,0.0018761,0.5554338,Inf,NaN,NaN,200,,
QGROW22,QOCO_MAX_ITER,0.0039613,0.782169,Inf,NaN,NaN,200,,
QGROW7,QOCO_MAX_ITER,0.0011601,0.2883284,Inf,NaN,NaN,200,,
QISRAEL,QOCO_MAX_ITER,0.0011658,0.1778727,Inf,NaN,NaN,200,,
QPCBLEND,QOCO_SOLVED,0.0003119,0.0037531,0.004065,-0.007841485,5.55E-09,20,,
QPCBOEI1,QOCO_SOLVED,0.0020143,0.0411693,0.0431836,11503914.01,2.14E-11,33,,
QPCBOEI2,QOCO_SOLVED,0.0004578,0.0164655,0.0169233,8171962.245,4.72E-15,32,,
QPCSTAIR,QOCO_SOLVED,0.0016832,0.1914576,0.1931408,6204391.746,2.68E-11,131,,
QPILOTNO,QOCO_MAX_ITER,0.0093428,2.3817544,Inf,NaN,NaN,200,,
QRECIPE,QOCO_MAX_ITER,0.0003004,0.0904491,Inf,NaN,NaN,200,,
QSC205,QOCO_SOLVED,0.0005345,0.0026654,0.0031999,-0.005813579,1.62E-10,12,,
QSCAGR25,QOCO_SOLVED,0.0007269,0.0225376,0.0232645,201737940.2,1.05E-10,33,,
QSCAGR7,QOCO_SOLVED,0.0003234,0.0045404,0.0048638,26865951.65,6.09E-09,30,,
QSCFXM1,QOCO_SOLVED,0.0013965,0.0532948,0.0546913,16882683.06,1.20E-09,57,,
QSCFXM2,QOCO_SOLVED,0.0035809,0.1316143,0.1351952,27776095.45,9.31E-10,67,,
QSCFXM3,QOCO_MAX_ITER,0.0043869,0.7590321,Inf,NaN,NaN,200,,
QSCORPIO,QOCO_MAX_ITER,0.0008599,0.1712321,Inf,NaN,NaN,200,,
QSCRS8,QOCO_MAX_ITER,0.0028161,0.4515895,Inf,NaN,NaN,200,,
QSCSD1,QOCO_SOLVED,0.0019571,0.0160247,0.0179818,8.66671,1.15E-10,19,,
QSCSD6,QOCO_SOLVED,0.0029751,0.0396557,0.0426308,50.80827088,1.95E-09,26,,
QSCSD8,QOCO_SOLVED,0.007399,0.0577593,0.0651583,940.7643786,2.31E-09,21,,
QSCTAP1,QOCO_SOLVED,0.0015391,0.0133416,0.0148807,1415.861905,1.38E-09,21,,
QSCTAP2,QOCO_SOLVED,0.0052951,0.0923433,0.0976384,1735.028433,1.06E-09,33,,
QSCTAP3,QOCO_SOLVED,0.0077884,0.1418088,0.1495972,1438.755497,1.75E-11,38,,
QSEBA,QOCO_SOLVED,0.0037667,0.0556394,0.0594061,31693913.31,1.16E-09,42,,
QSHARE1B,QOCO_MAX_ITER,0.0006645,0.1184456,Inf,NaN,NaN,200,,
QSHARE2B,QOCO_MAX_ITER,0.0002813,0.074816,Inf,NaN,NaN,200,,
QSHELL,QOCO_SOLVED,0.0551435,0.8548471,0.9099906,1.57262E+12,2.44E-09,66,,
QSHIP04L,QOCO_SOLVED,0.0058618,0.0421664,0.0480282,2420015.841,4.62E-11,26,,
QSHIP04S,QOCO_SOLVED,0.0039622,0.0283448,0.032307,2424994.328,1.07E-11,23,,
QSHIP08L,QOCO_SOLVED,0.0227283,1.1006706,1.1233989,2376040.658,8.77E-10,30,,
QSHIP08S,QOCO_SOLVED,0.0104306,0.1595291,0.1699597,2385729.032,1.34E-10,26,,
QSHIP12L,QOCO_SOLVED,0.0397316,1.3918199,1.4315515,3018876.621,1.36E-09,31,,
QSHIP12S,QOCO_SOLVED,0.0070292,0.1330496,0.1400788,3056962.384,4.90E-09,28,,
QSIERRA,QOCO_MAX_ITER,0.0071391,1.0815644,Inf,NaN,NaN,200,,
QSTAIR,QOCO_MAX_ITER,0.0015697,0.3675916,Inf,NaN,NaN,200,,
QSTANDAT,QOCO_SOLVED,0.0021487,0.0335071,0.0356558,6412.961708,3.91E-09,33,,
S268,QOCO_SOLVED,6.80E-05,0.0019896,0.0020576,-14462.13938,1.33E-09,2,,
STCQP1,QOCO_SOLVED,0.0122246,0.2781048,0.2903294,155143.5548,3.42E-09,14,,
STCQP2,QOCO_SOLVED,0.0098072,0.6960611,0.7058683,22327.31328,6.56E-10,17,,
TAME,QOCO_SOLVED,3.28E-05,0.0002431,0.0002759,-2.00E-17,9.36E-22,3,,
UBH1,QOCO_SOLVED,0.2526953,0.2526282,0.5053235,1.116000815,9.21E-11,22,,
YAO,QOCO_MAX_ITER,0.0018363,0.3376103,Inf,-256.9141105,4.38E-05,200,,
ZECEVIC2,QOCO_SOLVED,3.14E-05,0.0003,0.0003314,-4.124999959,1.37E-15,4,,
