test,status,setup_time,solve_time,run_time,obj,phi,iters,,,19
AUG2D,QOCO_SOLVED,0.0126118,0.0329401,0.0455519,1677511.753,0,1,,,
AUG2DC,QOCO_SOLVED,0.0103042,0.0296823,0.0399865,1808268.066,0,1,,,
AUG2DCQP,QOCO_SOLVED,0.0126337,0.5727512,0.5853849,6488034.739,6.42E-10,24,,,
AUG2DQP,QOCO_SOLVED,0.0151361,0.7141124,0.7292485,6227112.023,9.32E-09,37,,,
AUG3D,QOCO_SOLVED,0.0022,0.0047389,0.0069389,-782.4322742,0,1,,,
AUG3DC,QOCO_SOLVED,0.0016997,0.0052812,0.0069809,-1165.237561,0,1,,,
AUG3DCQP,QOCO_SOLVED,0.0024354,0.1408765,0.1433119,-943.1378576,3.49E-09,36,,,
AUG3DQP,QOCO_SOLVED,0.0030419,0.2878743,0.2909162,-661.2623121,6.13E-09,63,,,
CVXQP1_M,QOCO_SOLVED,0.002126,0.2553755,0.2575015,1087511.587,2.34E-11,32,,,
CVXQP1_S,QOCO_SOLVED,0.0002152,0.0021873,0.0024025,11590.71702,1.57E-11,16,,,
CVXQP2_M,QOCO_SOLVED,0.0016368,0.170976,0.1726128,820155.4331,3.60E-13,31,,,
CVXQP2_S,QOCO_SOLVED,0.0001778,0.0017041,0.0018819,8120.94041,4.77E-14,15,,,
CVXQP3_M,QOCO_SOLVED,0.0026029,0.2732693,0.2758722,1362817.742,5.23E-09,31,,,
CVXQP3_S,QOCO_SOLVED,0.0002047,0.0015097,0.0017144,11943.43163,5.25E-09,10,,,
DTOC3,QOCO_SOLVED,0.0070688,0.0187864,0.0258552,235.2625385,1.74E-14,3,,,
DUAL1,QOCO_SOLVED,0.0002952,0.0070396,0.0073348,0.035013068,1.08E-09,16,,,
DUAL2,QOCO_SOLVED,0.0002755,0.0065708,0.0068463,0.033733688,4.83E-10,15,,,
DUAL3,QOCO_SOLVED,0.0005223,0.0098961,0.0104184,0.135755807,7.18E-11,16,,,
DUAL4,QOCO_SOLVED,0.0002516,0.004107,0.0043586,0.746091035,1.01E-09,13,,,
DUALC1,QOCO_SOLVED,0.0001317,0.0021358,0.0022675,6155.539115,2.30E-09,11,,,
DUALC2,QOCO_SOLVED,0.0001778,0.0017918,0.0019696,3551.307711,3.21E-16,11,,,
DUALC5,QOCO_SOLVED,0.0001635,0.0013666,0.0015301,427.2323918,2.08E-13,6,,,
DUALC8,QOCO_SOLVED,0.0002642,0.0023741,0.0026383,18309.36389,1.99E-10,6,,,
GENHS28,QOCO_SOLVED,4.78E-05,0.0001205,0.0001683,0.927173694,0,1,,,
GOULDQP2,QOCO_SOLVED,0.0014633,0.0146514,0.0161147,0.000184539,3.00E-09,24,,,
GOULDQP3,QOCO_SOLVED,0.0006711,0.0178875,0.0185586,-29647.83716,6.02E-09,22,,,
HS118,QOCO_SOLVED,7.42E-05,0.0012875,0.0013617,664.8204505,1.81E-13,26,,,
HS21,QOCO_SOLVED,1.67E-05,0.0003165,0.0003332,0.040000048,6.83E-12,8,,,
HS268,QOCO_SOLVED,3.23E-05,0.0001938,0.0002261,-14462.13938,1.33E-09,2,,,
HS35,QOCO_SOLVED,2.50E-05,0.0002076,0.0002326,-8.888888521,5.16E-13,5,,,
HS35MOD,QOCO_SOLVED,3.68E-05,0.0004216,0.0004584,-8.749999995,1.70E-10,6,,,
HS51,QOCO_SOLVED,2.43E-05,8.12E-05,0.0001055,-6,0,1,,,
HS52,QOCO_SOLVED,1.85E-05,7.84E-05,9.69E-05,-0.673352436,0,1,,,
HS53,QOCO_SOLVED,3.15E-05,0.0001318,0.0001633,-1.906976744,3.01E-10,2,,,
HS76,QOCO_SOLVED,2.77E-05,0.0002192,0.0002469,-4.681816046,5.47E-12,5,,,
HUES-MOD,QOCO_MAX_ITER,0.0046767,2.2045635,Inf,17098578752,2.35E-07,200,,,
