test,status,setup_time,solve_time,run_time,obj,phi,iters,,,19
HUESTIS,QOCO_MAX_ITER,0.0035586,1.7333275,Inf,3.57875E+11,5.48E-07,200,,,
KSIP,QOCO_MAX_ITER,0.0010928,0.464312,Inf,0.608004969,1.29E-06,200,,,
LISWET1,QOCO_SOLVED,0.0096154,0.0743471,0.0839625,-2500.400238,5.84E-09,13,,,
LISWET10,QOCO_SOLVED,0.0065213,0.0754249,0.0819462,-2500.94186,7.08E-09,12,,,
LISWET11,QOCO_SOLVED,0.0073396,0.0758405,0.0831801,-2500.744193,7.15E-09,12,,,
LISWET12,QOCO_MAX_ITER,0.005885,2.4262045,Inf,-2500.744441,4.05E-09,200,,,
LISWET2,QOCO_SOLVED,0.0051808,0.0501952,0.055376,-1666.987419,1.36E-09,11,,,
LISWET3,QOCO_SOLVED,0.0058127,0.0610159,0.0668286,-1000.254123,1.36E-09,11,,,
LISWET4,QOCO_SOLVED,0.0056792,0.0521753,0.0578545,-714.5112308,1.36E-09,11,,,
LISWET5,QOCO_MAX_ITER,0.0058211,2.169637,Inf,-15976.14207,6.28E-09,200,,,
LISWET6,QOCO_SOLVED,0.005121,0.0592224,0.0643434,-2162.218578,7.08E-09,12,,,
LISWET7,QOCO_SOLVED,0.0052373,0.0707416,0.0759789,-2500.253496,2.04E-09,15,,,
LISWET8,QOCO_SOLVED,0.0059742,0.0786762,0.0846504,-2500.253404,2.22E-09,15,,,
LISWET9,QOCO_SOLVED,0.0061658,0.071813,0.0779788,-2500.253446,5.15E-09,15,,,
LOTSCHD,QOCO_SOLVED,4.89E-05,0.0004048,0.0004537,2398.395857,3.02E-10,9,,,
MOSARQP1,QOCO_SOLVED,0.0018032,0.0533786,0.0551818,-952.8754219,1.15E-09,21,,,
MOSARQP2,QOCO_SOLVED,0.0018325,0.0553624,0.0571949,-1597.481953,8.40E-09,26,,,
POWELL20,QOCO_MAX_ITER,0.00888,1.3814791,Inf,45276511827,58064.5892,200,,,
PRIMAL1,QOCO_SOLVED,0.0019818,0.0196616,0.0216434,-0.035012915,5.95E-10,26,,,
PRIMAL2,QOCO_SOLVED,0.0028863,0.0195095,0.0223958,-0.033733584,1.13E-10,18,,,
PRIMAL3,QOCO_SOLVED,0.013686,0.0558303,0.0695163,-0.135755712,3.33E-09,19,,,
PRIMAL4,QOCO_SOLVED,0.0145127,0.0323611,0.0468738,-0.746090815,7.47E-10,18,,,
PRIMALC1,QOCO_SOLVED,0.0002079,0.0051911,0.005399,-6155.250818,8.25E-18,19,,,
PRIMALC2,QOCO_SOLVED,0.0001405,0.0035151,0.0036556,-3551.307291,5.89E-13,13,,,
PRIMALC5,QOCO_SOLVED,0.0002232,0.0020892,0.0023124,-427.23228,2.82E-14,7,,,
PRIMALC8,QOCO_SOLVED,0.0003233,0.0075148,0.0078381,-18309.4295,3.24E-13,12,,,
Q25FV47,QOCO_SOLVED,0.0834698,1.384156,1.4676258,13741579.15,3.99E-09,63,,,
QADLITTL,QOCO_SOLVED,0.0002582,0.0025802,0.0028384,480319.4348,8.07E-09,23,,,
QAFIRO,QOCO_SOLVED,0.0001296,0.0006707,0.0008003,-1.590766102,3.56E-14,12,,,
QBANDM,QOCO_SOLVED,0.0014301,0.0255302,0.0269603,16352.34204,8.45E-10,36,,,
QBEACONF,QOCO_SOLVED,0.0009367,0.0115372,0.0124739,164712.0718,6.59E-10,25,,,
QBORE3D,QOCO_SOLVED,0.0009132,0.0121276,0.0130408,3100.201087,3.54E-09,30,,,
QBRANDY,QOCO_SOLVED,0.0010323,0.0157001,0.0167324,28375.09607,6.05E-10,25,,,
QCAPRI,QOCO_MAX_ITER,0.0012238,0.1987751,Inf,56906342.39,8.06E-07,200,,,
QE226,QOCO_SOLVED,0.0013816,0.0206742,0.0220558,205.5404857,1.08E-09,27,,,
QETAMACR,QOCO_SOLVED,0.0035135,0.2337291,0.2372426,86760.38284,1.28E-10,31,,,
QFFFFF80,QOCO_SOLVED,0.0029425,0.1155055,0.118448,873225.5567,2.96E-09,40,,,
QFORPLAN,QOCO_MAX_ITER,0.0027471,0.1838108,Inf,7450761411,7.80E-06,200,,,
QGFRDXPN,QOCO_SOLVED,0.0017998,0.0246291,0.0264289,1.00791E+11,7.79E-09,30,,,
QGROW15,QOCO_MAX_ITER,0.0018749,0.469554,Inf,NaN,NaN,200,,,
QGROW22,QOCO_MAX_ITER,0.0040388,0.6919455,Inf,NaN,NaN,200,,,
QGROW7,QOCO_MAX_ITER,0.0009657,0.220885,Inf,NaN,NaN,200,,,
QISRAEL,QOCO_MAX_ITER,0.0007323,0.1243274,Inf,33041686.76,1.31E-05,200,,,
QPCBLEND,QOCO_SOLVED,0.0001953,0.0023422,0.0025375,-0.007851905,8.06E-10,20,,,
QPCBOEI1,QOCO_SOLVED,0.0019157,0.0364611,0.0383768,11503914.35,4.11E-10,31,,,
QPCBOEI2,QOCO_SOLVED,0.0007249,0.026905,0.0276299,8171951.245,7.61E-11,32,,,
QPCSTAIR,QOCO_MAX_ITER,0.001299,0.3157534,Inf,6090741.573,1.61E-07,200,,,
QPILOTNO,QOCO_MAX_ITER,0.0121492,2.1110399,Inf,1939732.539,1.75E-07,200,,,
QRECIPE,QOCO_MAX_ITER,0.0003766,0.0798932,Inf,NaN,NaN,200,,,
QSC205,QOCO_SOLVED,0.0005941,0.0034569,0.004051,-0.00581304,2.75E-10,12,,,
QSCAGR25,QOCO_SOLVED,0.0009392,0.0138808,0.01482,201737951.3,1.10E-10,33,,,
QSCAGR7,QOCO_SOLVED,0.0003345,0.0039079,0.0042424,26865849.14,6.09E-09,30,,,
QSCFXM1,QOCO_SOLVED,0.0015673,0.0443543,0.0459216,16877640.46,2.90E-09,58,,,
QSCFXM2,QOCO_SOLVED,0.0030884,0.0999408,0.1030292,27656211.61,5.62E-09,62,,,
QSCFXM3,QOCO_SOLVED,0.0033231,0.1502292,0.1535523,30696461.8,5.05E-09,64,,,
QSCORPIO,QOCO_SOLVED,0.0008117,0.0079512,0.0087629,1880.509182,3.14E-11,23,,,
QSCRS8,QOCO_SOLVED,0.0019802,0.0359554,0.0379356,904.575848,2.83E-10,37,,,
QSCSD1,QOCO_SOLVED,0.0013755,0.0129392,0.0143147,8.666705915,3.47E-10,19,,,
QSCSD6,QOCO_SOLVED,0.0025769,0.0300831,0.03266,50.8082478,5.48E-10,26,,,
QSCSD8,QOCO_SOLVED,0.0052115,0.0455102,0.0507217,940.7642939,2.53E-09,21,,,
QSCTAP1,QOCO_SOLVED,0.0010878,0.01003,0.0111178,1415.8619,1.40E-09,21,,,
QSCTAP2,QOCO_SOLVED,0.0042202,0.0837609,0.0879811,1735.028431,1.06E-09,33,,,
QSCTAP3,QOCO_SOLVED,0.0059836,0.1239123,0.1298959,1438.755497,1.75E-11,38,,,
QSEBA,QOCO_SOLVED,0.0029792,0.0612638,0.064243,31693728.22,1.60E-09,45,,,
QSHARE1B,QOCO_SOLVED,0.0007198,0.0116478,0.0123676,720077.6421,5.35E-10,35,,,
QSHARE2B,QOCO_MAX_ITER,0.0003279,0.063855,Inf,11627.99727,2.30E-08,200,,,
QSHELL,QOCO_MAX_ITER,0.0550841,2.6732497,Inf,1.55756E+12,8.63E-08,200,,,
QSHIP04L,QOCO_SOLVED,0.0046266,0.0344223,0.0390489,2420016.546,6.91E-10,26,,,
QSHIP04S,QOCO_SOLVED,0.0030517,0.0228447,0.0258964,2424994.32,1.10E-11,23,,,
QSHIP08L,QOCO_SOLVED,0.0159467,0.7709656,0.7869123,2376042.177,4.81E-09,30,,,
QSHIP08S,QOCO_SOLVED,0.0061321,0.1209854,0.1271175,2385728.936,1.57E-10,26,,,
QSHIP12L,QOCO_SOLVED,0.0260631,1.0604503,1.0865134,3018876.627,1.43E-09,31,,,
QSHIP12S,QOCO_SOLVED,0.0063473,0.1185668,0.1249141,3056962.386,4.90E-09,28,,,
QSIERRA,QOCO_SOLVED,0.0041653,0.0710111,0.0751764,23755798.72,3.03E-09,34,,,
QSTAIR,QOCO_MAX_ITER,0.0014324,0.3270968,Inf,7947115.064,5.75E-08,200,,,
QSTANDAT,QOCO_SOLVED,0.0017758,0.0298397,0.0316155,6412.98215,3.42E-09,33,,,
S268,QOCO_SOLVED,3.88E-05,0.0001349,0.0001737,-14462.13938,1.33E-09,2,,,
STCQP1,QOCO_SOLVED,0.0076985,0.2384162,0.2461147,155143.5548,3.42E-09,14,,,
STCQP2,QOCO_SOLVED,0.0090974,0.619965,0.6290624,22327.31344,6.56E-10,17,,,
TAME,QOCO_SOLVED,2.55E-05,0.0002056,0.0002311,2.07E-18,9.36E-22,3,,,
UBH1,QOCO_SOLVED,0.2056156,0.2058316,0.4114472,1.116031112,2.98E-12,21,,,
YAO,QOCO_MAX_ITER,0.0013296,0.4509543,Inf,-265.2011927,5.59E-07,200,,,
ZECEVIC2,QOCO_SOLVED,4.16E-05,0.0001999,0.0002415,-4.124999959,1.37E-15,4,,,
