test,status,setup_time,solve_time,run_time,obj,phi,iters,,,18
lp_scagr25,QOCO_SOLVED,0.0017635,0.013621,0.0153845,-14753432.24,3.42E-09,32,,,
lp_scagr7,QOCO_SOLVED,0.0005735,0.0032335,0.003807,-2331389.841,7.83E-09,25,,,
lp_scfxm1,QOCO_SOLVED,0.0014748,0.022123,0.0235978,18416.77598,1.45E-10,37,,,
lp_scfxm2,QOCO_SOLVED,0.0030639,0.0554106,0.0584745,36660.51895,4.72E-10,46,,,
lp_scfxm3,QOCO_SOLVED,0.0063732,0.0908645,0.0972377,54901.17216,3.31E-09,45,,,
lp_scorpion,QOCO_MAX_ITER,0.0016203,0.1213459,Inf,NaN,NaN,200,,,
lp_scrs8,QOCO_SOLVED,0.0029515,0.0379934,0.0409449,904.3138962,1.00E-08,49,,,
lp_scsd1,QOCO_SOLVED,0.0013176,0.0076742,0.0089918,8.666698916,7.19E-12,19,,,
lp_scsd6,QOCO_SOLVED,0.0033094,0.0218735,0.0251829,50.50001429,1.16E-09,23,,,
lp_scsd8,QOCO_SOLVED,0.0070789,0.0293462,0.0364251,905.0005606,4.24E-13,19,,,
lp_sctap1,QOCO_SOLVED,0.0024602,0.0220207,0.0244809,1412.250973,1.29E-10,32,,,
lp_sctap2,QOCO_SOLVED,0.0045875,0.0531737,0.0577612,1724.809798,2.22E-09,31,,,
lp_sctap3,QOCO_SOLVED,0.0072206,0.0686709,0.0758915,1424.001625,1.60E-11,24,,,
lp_seba,QOCO_SOLVED,0.0030964,0.0282329,0.0313293,15711.60295,5.00E-11,30,,,
lp_share1b,QOCO_MAX_ITER,0.0006194,0.0853669,Inf,NaN,NaN,200,,,
lp_share2b,QOCO_MAX_ITER,0.0005621,0.0689772,Inf,NaN,NaN,200,,,
lp_shell,QOCO_SOLVED,0.0041803,0.0583143,0.0624946,1208826528,7.20E-10,48,,,
lp_ship04l,QOCO_SOLVED,0.0060672,0.0473315,0.0533987,1793326.693,1.29E-09,40,,,
lp_ship04s,QOCO_SOLVED,0.0028613,0.022089,0.0249503,1798722.406,3.20E-11,27,,,
lp_ship08l,QOCO_SOLVED,0.0110366,0.0863811,0.0974177,1909056.397,2.35E-09,31,,,
lp_ship08s,QOCO_SOLVED,0.0054386,0.0506221,0.0560607,1920103.488,2.52E-09,39,,,
lp_ship12l,QOCO_SOLVED,0.0163276,0.1343134,0.150641,1470233.735,8.73E-10,43,,,
lp_ship12s,QOCO_SOLVED,0.0068131,0.0478899,0.054703,1489251.456,3.91E-10,31,,,
lp_sierra,QOCO_SOLVED,0.0058024,0.060018,0.0658204,15469862.86,7.03E-09,31,,,
lp_stair,QOCO_SOLVED,0.0023243,0.0341883,0.0365126,-251.2661742,2.95E-10,38,,,
lp_standata,QOCO_SOLVED,0.0022406,0.0266341,0.0288747,1258.597978,7.67E-09,40,,,
lp_standgub,QOCO_SOLVED,0.0024315,0.0302796,0.0327111,1258.595651,7.70E-09,40,,,
lp_standmps,QOCO_SOLVED,0.0024375,0.0471357,0.0495732,1406.31138,8.22E-09,51,,,
lp_stocfor1,QOCO_SOLVED,0.0005911,0.0023664,0.0029575,-41131.97066,6.64E-13,19,,,
lp_stocfor2,QOCO_SOLVED,0.0076765,0.0878342,0.0955107,-39023.99444,2.63E-10,38,,,
lp_stocfor3,QOCO_SOLVED,0.1829202,1.0395413,1.2224615,-39975.36885,1.14E-09,60,,,
lp_truss,QOCO_SOLVED,0.0290716,0.2217532,0.2508248,458815.8534,2.41E-13,30,,,
lp_tuff,QOCO_SOLVED,0.0022648,0.0327712,0.035036,0.293211097,1.70E-09,36,,,
lp_vtp_base,QOCO_SOLVED,0.0008996,0.0055489,0.0064485,129831.6489,6.03E-11,21,,,
lp_wood1p,QOCO_MAX_ITER,0.0153724,2.3330504,Inf,NaN,NaN,200,,,
lp_woodw,QOCO_SOLVED,0.0402323,0.6009532,0.6411855,1.304687778,5.63E-09,80,,,
