test,status,setup_time,solve_time,run_time,obj,phi,iters,,15
AUG2D,QOCO_SOLVED,0.0092277,0.0263123,0.03554,1677511.753,0,1,,
AUG2DC,QOCO_SOLVED,0.0102958,0.0355469,0.0458427,1808268.066,0,1,,
AUG2DCQP,QOCO_SOLVED,0.0181334,0.4977536,0.515887,6488034.739,6.42E-10,24,,
AUG2DQP,QOCO_SOLVED,0.0124036,0.7663009,0.7787045,6227112.026,9.29E-09,37,,
AUG3D,QOCO_SOLVED,0.0033545,0.0058519,0.0092064,-782.4322742,0,1,,
AUG3DC,QOCO_SOLVED,0.0021453,0.0058602,0.0080055,-1165.237561,0,1,,
AUG3DCQP,QOCO_SOLVED,0.003164,0.1724691,0.1756331,-943.1378524,3.48E-09,36,,
AUG3DQP,QOCO_SOLVED,0.0035732,0.3228687,0.3264419,-661.2623125,6.09E-09,63,,
CVXQP1_L,QOCO_SOLVED,0.0532217,399.4461105,399.4993322,108704798.5,4.23E-11,91,,
CVXQP1_M,QOCO_SOLVED,0.0020859,0.2630478,0.2651337,1087511.568,5.77E-14,32,,
CVXQP1_S,QOCO_SOLVED,0.0002456,0.0020377,0.0022833,11590.71828,8.55E-09,15,,
CVXQP2_L,QOCO_SOLVED,0.0338351,325.8535425,325.8873776,81842458.29,2.66E-10,131,,
CVXQP2_M,QOCO_SOLVED,0.0020923,0.307969,0.3100613,820155.4312,2.15E-13,31,,
CVXQP2_S,QOCO_SOLVED,0.0002484,0.0027889,0.0030373,8120.940479,8.49E-15,15,,
CVXQP3_L,QOCO_SOLVED,0.0614117,554.6620033,554.723415,115711103.6,2.44E-10,112,,
CVXQP3_M,QOCO_SOLVED,0.0030679,0.3950393,0.3981072,1362826.29,1.36E-09,39,,
CVXQP3_S,QOCO_SOLVED,0.0002012,0.0015023,0.0017035,11943.4323,5.24E-09,10,,
DTOC3,QOCO_SOLVED,0.0043797,0.0143441,0.0187238,235.2625793,5.02E-14,3,,
DUAL1,QOCO_SOLVED,0.0002223,0.0051958,0.0054181,0.035013082,1.08E-09,16,,
DUAL2,QOCO_SOLVED,0.0002657,0.009182,0.0094477,0.033733685,4.83E-10,15,,
DUAL3,QOCO_SOLVED,0.0003285,0.0111989,0.0115274,0.135756136,7.55E-09,15,,
DUAL4,QOCO_SOLVED,0.0003119,0.0041687,0.0044806,0.746091006,1.01E-09,13,,
DUALC1,QOCO_SOLVED,0.0002006,0.0021544,0.002355,6155.567682,2.34E-09,12,,
