test,status,setup_time,solve_time,run_time,obj,phi,iters,,,27
PRIMALC2,QOCO_SOLVED,0.000183,0.0029025,0.0030855,-3551.307277,6.20E-13,13,,,
PRIMALC5,QOCO_SOLVED,0.0001548,0.0020531,0.0022079,-427.23228,2.82E-14,7,,,
PRIMALC8,QOCO_SOLVED,0.0002563,0.0072626,0.0075189,-18309.42958,6.37E-13,13,,,
Q25FV47,QOCO_MAX_ITER,0.0808198,4.5701154,Inf,NaN,NaN,200,,,
QADLITTL,QOCO_SOLVED,0.0002798,0.002436,0.0027158,480319.9983,7.96E-09,23,,,
QAFIRO,QOCO_SOLVED,0.0001077,0.0006356,0.0007433,-1.590767826,1.64E-14,12,,,
QBANDM,QOCO_MAX_ITER,0.0013068,0.1899823,Inf,NaN,NaN,200,,,
QBEACONF,QOCO_MAX_ITER,0.0011347,0.1731305,Inf,NaN,NaN,200,,,
QBORE3D,QOCO_MAX_ITER,0.0007799,0.1291401,Inf,NaN,NaN,200,,,
QBRANDY,QOCO_MAX_ITER,0.0010505,0.1709506,Inf,NaN,NaN,200,,,
QCAPRI,QOCO_MAX_ITER,0.0011366,0.2028669,Inf,57033756.75,0.000452309,200,,,
QE226,QOCO_SOLVED,0.001369,0.0204119,0.0217809,205.5404419,1.01E-09,27,,,
QETAMACR,QOCO_MAX_ITER,0.0032415,1.8422276,Inf,NaN,NaN,200,,,
QFFFFF80,QOCO_SOLVED,0.0033065,0.1287808,0.1320873,873167.9536,2.03E-09,41,,,
QFORPLAN,QOCO_SOLVED,0.0025294,0.1166936,0.119223,7456631359,1.16E-09,88,,,
QGFRDXPN,QOCO_MAX_ITER,0.001841,0.3979323,Inf,NaN,NaN,200,,,
QGROW15,QOCO_MAX_ITER,0.0020969,0.472605,Inf,NaN,NaN,200,,,
QGROW22,QOCO_MAX_ITER,0.002709,0.6979602,Inf,NaN,NaN,200,,,
QGROW7,QOCO_MAX_ITER,0.0009488,0.2404069,Inf,NaN,NaN,200,,,
QISRAEL,QOCO_MAX_ITER,0.0007679,0.155195,Inf,NaN,NaN,200,,,
QPCBLEND,QOCO_SOLVED,0.0002354,0.0027914,0.0030268,-0.00784146,5.00E-09,20,,,
QPCBOEI1,QOCO_SOLVED,0.0013524,0.0385022,0.0398546,11503914.01,1.97E-11,33,,,
QPCBOEI2,QOCO_SOLVED,0.0005717,0.0136634,0.0142351,8171962.244,4.72E-15,32,,,
QPCSTAIR,QOCO_SOLVED,0.0015134,0.1831232,0.1846366,6204387.504,9.26E-11,131,,,
QPILOTNO,QOCO_MAX_ITER,0.0078278,2.1191151,Inf,NaN,NaN,200,,,
QRECIPE,QOCO_MAX_ITER,0.0004313,0.0790948,Inf,NaN,NaN,200,,,
QSC205,QOCO_SOLVED,0.0005479,0.0022362,0.0027841,-0.005813579,1.62E-10,12,,,
QSCAGR25,QOCO_SOLVED,0.0008762,0.0133763,0.0142525,201737940,1.05E-10,33,,,
QSCAGR7,QOCO_SOLVED,0.000387,0.0041093,0.0044963,26865951.6,6.09E-09,30,,,
QSCFXM1,QOCO_MAX_ITER,0.0012127,0.2422135,Inf,NaN,NaN,200,,,
QSCFXM2,QOCO_MAX_ITER,0.002227,0.4589138,Inf,NaN,NaN,200,,,
QSCFXM3,QOCO_MAX_ITER,0.0039805,0.7019194,Inf,NaN,NaN,200,,,
QSCORPIO,QOCO_MAX_ITER,0.0015049,0.1670235,Inf,NaN,NaN,200,,,
QSCRS8,QOCO_MAX_ITER,0.003228,0.429997,Inf,NaN,NaN,200,,,
QSCSD1,QOCO_SOLVED,0.00217,0.0170459,0.0192159,8.666710001,1.15E-10,19,,,
