test,status,setup_time,solve_time,run_time,obj,phi,iters
QRECIPE,QOCO_SOLVED,0.0004651,0.0024967,0.0029618,-266.6159909,1.38E-09,26
QSC205,QOCO_SOLVED,0.0004352,0.001103,0.0015382,-0.005813579,1.62E-10,12
QSCAGR25,QOCO_SOLVED,0.0007018,0.006943,0.0076448,201737940,1.05E-10,33
QSCAGR7,QOCO_SOLVED,0.0004008,0.0025673,0.0029681,26865951.59,6.09E-09,30
QSCFXM1,QOCO_SOLVED,0.00096,0.027561,0.028521,16882691.65,5.20E-11,59
QSCFXM2,QOCO_SOLVED,0.0016968,0.0580587,0.0597555,27776161.59,2.69E-09,66
QSCFXM3,QOCO_SOLVED,0.0032219,0.0776265,0.0808484,30816354.5,4.74E-09,61
QSCORPIO,QOCO_SOLVED,0.0008637,0.004054,0.0049177,1880.509768,5.98E-12,23
QSCRS8,QOCO_SOLVED,0.0026246,0.0213994,0.024024,904.5748155,3.08E-10,37
QSCSD1,QOCO_SOLVED,0.0012048,0.0067823,0.0079871,8.666710001,1.15E-10,19
QSCSD6,QOCO_SOLVED,0.0016954,0.0165354,0.0182308,50.80827121,1.95E-09,26
QSCSD8,QOCO_SOLVED,0.0043205,0.0242516,0.0285721,940.7643786,2.31E-09,21
QSCTAP1,QOCO_SOLVED,0.0008063,0.0051666,0.0059729,1415.861905,1.38E-09,21
QSCTAP2,QOCO_SOLVED,0.002727,0.0423773,0.0451043,1735.028433,1.06E-09,33
QSCTAP3,QOCO_SOLVED,0.0040638,0.0667667,0.0708305,1438.755497,1.75E-11,38
QSEBA,QOCO_SOLVED,0.0018023,0.0260931,0.0278954,31693913.28,1.16E-09,42
QSHARE1B,QOCO_SOLVED,0.0005547,0.0044249,0.0049796,720078.3461,3.41E-10,35
QSHARE2B,QOCO_SOLVED,0.0002904,0.003504,0.0037944,11703.69171,3.01E-09,40
QSHELL,QOCO_SOLVED,0.0300539,0.4145621,0.444616,1.57263E+12,9.53E-09,62
QSHIP04L,QOCO_SOLVED,0.0039507,0.0193994,0.0233501,2420015.841,4.62E-11,26
QSHIP04S,QOCO_SOLVED,0.0022955,0.0120342,0.0143297,2424994.328,1.07E-11,23
QSHIP08L,QOCO_SOLVED,0.0120265,0.452983,0.4650095,2376040.658,8.78E-10,30
QSHIP08S,QOCO_SOLVED,0.0045048,0.0664199,0.0709247,2385729.033,1.34E-10,26
QSHIP12L,QOCO_SOLVED,0.0169142,0.7191256,0.7360398,3018876.621,1.36E-09,31
QSHIP12S,QOCO_SOLVED,0.0052439,0.0748914,0.0801353,3056962.385,4.90E-09,28
QSIERRA,QOCO_SOLVED,0.0034035,0.0424556,0.0458591,23763119.78,2.31E-09,34
QSTAIR,QOCO_SOLVED,0.0011718,0.1314706,0.1326424,7985313.813,1.66E-12,142
QSTANDAT,QOCO_SOLVED,0.0013878,0.0150745,0.0164623,6412.964904,3.92E-09,33
S268,QOCO_SOLVED,3.56E-05,4.76E-05,8.32E-05,-14462.13938,1.33E-09,2
STCQP1,QOCO_SOLVED,0.0054119,0.2046739,0.2100858,155143.5548,3.42E-09,14
STCQP2,QOCO_SOLVED,0.0064474,0.3786245,0.3850719,22327.31328,6.56E-10,17
TAME,QOCO_SOLVED,1.60E-05,5.53E-05,7.13E-05,-1.52E-17,9.36E-22,3
UBH1,QOCO_SOLVED,0.1262193,0.1230732,0.2492925,1.116000816,3.02E-09,22
YAO,QOCO_MAX_ITER,0.0007842,0.1694552,Inf,-257.1714134,5.41E-05,200
ZECEVIC2,QOCO_SOLVED,2.65E-05,5.67E-05,8.32E-05,-4.124999959,1.37E-15,4
