test,status,setup_time,solve_time,run_time,obj,phi,iters,,3
lp_sc205,QOCO_SOLVED,0.0006623,0.0032995,0.0039618,-52.20204495,2.75E-09,24,,
lp_sc50a,QOCO_SOLVED,0.0002182,0.0006748,0.000893,-64.57507504,7.55E-16,14,,
lp_sc50b,QOCO_SOLVED,0.0001642,0.0005579,0.0007221,-69.99995845,4.10E-14,12,,
lp_scagr25,QOCO_SOLVED,0.0011998,0.0090555,0.0102553,-14753432.38,3.42E-09,32,,
lp_scagr7,QOCO_SOLVED,0.0004454,0.0021781,0.0026235,-2331389.602,7.83E-09,25,,
lp_scfxm1,QOCO_SOLVED,0.0018111,0.02395,0.0257611,18416.77687,1.49E-10,37,,
lp_scfxm2,QOCO_SOLVED,0.0030688,0.0545662,0.057635,36660.57319,4.72E-10,46,,
lp_scfxm3,QOCO_SOLVED,0.0043375,0.0772017,0.0815392,54901.97802,1.60E-09,45,,
lp_scorpion,QOCO_SOLVED,0.0010361,0.0058492,0.0068853,1878.125946,4.37E-09,23,,
lp_scrs8,QOCO_SOLVED,0.0023683,0.0389785,0.0413468,904.3139482,9.97E-09,49,,
lp_scsd1,QOCO_SOLVED,0.0016545,0.0074952,0.0091497,8.666699911,5.30E-12,19,,
lp_scsd6,QOCO_SOLVED,0.0031006,0.0150393,0.0181399,50.50001448,1.17E-09,23,,
lp_scsd8,QOCO_SOLVED,0.0057127,0.0252994,0.0310121,905.0005606,4.24E-13,19,,
lp_sctap1,QOCO_SOLVED,0.0020099,0.012977,0.0149869,1412.250978,1.29E-10,32,,
lp_sctap2,QOCO_SOLVED,0.0053821,0.0623709,0.067753,1724.809799,2.22E-09,31,,
lp_sctap3,QOCO_SOLVED,0.0100956,0.0531139,0.0632095,1424.001627,1.60E-11,24,,
lp_seba,QOCO_SOLVED,0.0030928,0.0211599,0.0242527,15711.60295,4.93E-11,30,,
lp_share1b,QOCO_SOLVED,0.0007528,0.0082247,0.0089775,-76589.29323,6.76E-10,42,,
lp_share2b,QOCO_SOLVED,0.0004806,0.003103,0.0035836,-415.7322392,2.36E-11,20,,
lp_shell,QOCO_SOLVED,0.0062997,0.0844679,0.0907676,1208828707,1.69E-09,47,,
lp_ship04l,QOCO_SOLVED,0.0089669,0.0677304,0.0766973,1793326.774,1.22E-09,40,,
lp_ship04s,QOCO_SOLVED,0.0063387,0.0281395,0.0344782,1798723.364,1.42E-10,27,,
lp_ship08l,QOCO_SOLVED,0.0176183,0.0817304,0.0993487,1909099.882,1.27E-09,31,,
lp_ship08s,QOCO_SOLVED,0.0081933,0.0594576,0.0676509,1920103.454,2.52E-09,39,,
lp_ship12l,QOCO_SOLVED,0.0258933,0.1384695,0.1643628,1470233.126,8.49E-10,43,,
lp_ship12s,QOCO_SOLVED,0.0077736,0.0451983,0.0529719,1489236.438,9.34E-10,31,,
lp_sierra,QOCO_SOLVED,0.0074303,0.0747295,0.0821598,15495952.8,7.13E-09,33,,
lp_stair,QOCO_SOLVED,0.00244,0.0338951,0.0363351,-251.2662071,7.00E-09,37,,
lp_standata,QOCO_SOLVED,0.0028059,0.0319596,0.0347655,1258.598675,7.66E-09,40,,
lp_standgub,QOCO_SOLVED,0.0036646,0.0350651,0.0387297,1258.596361,7.69E-09,40,,
lp_standmps,QOCO_SOLVED,0.0028308,0.0436668,0.0464976,1406.311783,8.22E-09,51,,
lp_stocfor1,QOCO_SOLVED,0.0004584,0.0020443,0.0025027,-41131.97065,6.63E-13,19,,
lp_stocfor2,QOCO_SOLVED,0.010355,0.099164,0.109519,-39023.99444,2.63E-10,38,,
lp_stocfor3,QOCO_SOLVED,0.2324935,0.9960337,1.2285272,-39975.33627,1.21E-09,59,,
lp_truss,QOCO_SOLVED,0.035124,0.2366142,0.2717382,458815.8539,1.62E-12,30,,
lp_tuff,QOCO_SOLVED,0.0026197,0.0372239,0.0398436,0.293317647,1.84E-09,35,,
lp_vtp_base,QOCO_SOLVED,0.0027247,0.0079908,0.0107155,129832.0893,1.14E-09,21,,
lp_wood1p,QOCO_SOLVED,0.0191517,0.5156126,0.5347643,1.442917483,8.05E-10,56,,
lp_woodw,QOCO_SOLVED,0.0488673,0.6526404,0.7015077,1.304688157,5.59E-09,80,,
